the friend	el amigo
the bank	el banco
the bathroom	el baño
the car	el carro
the cat	el gato
the brother	el hermano
the book	el libro
the boy	el muchacho
the little boy, the child	el niño
the dog	el perro
the telephone	el teléfono
the wine	el vino
the animal	el animal
the coffee	el café
the doctor	el doctor
the man	el hombre
the hospital	el hospital
the hotel	el hotel
the tomato	el tomate
the train	el tren
the climate	el clima
the day	el día
the drama	el drama
the language	el idioma
the map	el mapa
the planet	el planeta
the poem	el poema
the problem	el problema
the program	el programa
the system	el sistema
the blouse	la blusa
the bag	la bolsa
the bed	la cama
the house	la casa
the beer	la cerveza
the meal	la comida
the sister	la hermana
the church	la iglesia
the lamp	la lámpara
the table	la mesa
the girl	la muchacha
the little girl	la niña
the person	la persona
the plant	la planta
the chair	la silla
the store	la tienda
the window	la ventana
the song	la canción
the conversation	la conversación
the invitation	la invitación
the lesson	la lección
the illusion	la ilusión
the television	la televisión
the city	la ciudad
the truth	la verdad
the friendship	la amistad
the attitude	la actitud
the photograph	la foto
the hand	la mano
the radio	la radio
the class	la clase
the flower	la flor
the light	la luz
the woman	la mujer
the skin	la piel
the luck	la suerte
the (male) artist, the (female) artist	el artista, la artista
the (male) dentist, the (female) dentist	el dentista, la dentista
the (male) pianist, the (female) pianist	el pianista, la pianista
the (male) cabdriver, the (female) cabdriver	el taxista, la taxista
the (male) singer, the (female) singer	el cantante, la cantante
the (male) student, the (female) student	el estudiante, la estudiante
the (male) manager, the (female) manager	el gerente, la gerente
the (male) president, the (female) president	el presidente, la presidente
a (male) friend	un amigo
a bathroom	un baño
a car	un carro
a mirror	un espejo
a cat	un gato
a garden	un jardín
a museum	un museo
a (male) pianist	un pianista
an armchair	un sillón
a ticket	un tiquete
a (female) friend	una amiga
a library	una biblioteca
a city	una ciudad
an idea	una idea
a bookstore	una librería
a suitcase	una maleta
a woman	una mujer
a page	una página
a person (male or female)	una persona
a pen	una pluma
some boats	unos barcos
some cats	unos gatos
some languages	unos idiomas
some books	unos libros
some (female) artists	unas artistas
some houses	unas casas
some conversations	unas conversaciones
some flowers	unas flores
the white book	el libro blanco
the black cat	el gato negro
the red car	el carro rojo
the nice boy	el muchacho simpático
the handsome man	el hombre hermoso
the white house	la casa blanca
the black jacket	la chaqueta negra
the red lamp	la lámpara roja
the nice girl	la muchacha simpática
the beautiful woman	la mujer hermosa
the colors	los colores
yellow	amarillo
orange	anaranjado
blue	azul
white	blanco
gray	gris
brown	marrón, pardo
purple	morado
brown-skinned	moreno
black	negro
red	rojo
pink	rosado
green	verde
agreeable, pleasant	agradable
happy	alegre
inexpensive	barato
expensive	caro
weak	débil
slender	delgado
difficult	difícil
great, terrific	estupendo
excellent	excelente
easy	fácil
fantastic	fantástico
ugly	feo
thin	flaco
fragile	frágil
strong	fuerte
fat	gordo
big	grande
handsome, beautiful	guapo
beautiful	hermoso
horrible	horrible
intelligent	inteligente
interesting	interesante
young	joven
marvelous, wonderful	maravilloso
little, small	pequeño
poor	pobre
rich	rico
nice	simpático
sincere	sincero
stingy	tacaño
typical	típico
sad	triste
old	viejo
how?	¿cómo?
where?	¿dónde?
who?	¿quién?
here	aquí, acá
there	allí, allá
happy (merry)	alegre
pretty	bonito
good	bueno
tired	cansado
happy (contented)	contento
delicious	delicioso
sick	enfermo
angry	enojado
beautiful, handsome	guapo; hermoso
the bedroom	la alcoba
the rug	la alfombra
the ballpoint pen	el bolígrafo
the kitchen	la cocina
the collection	la colección
the dining room	el comedor
the curtain	la cortina
the notebook	el cuaderno
the mirror	el espejo
the study	el estudio
the stove	la estufa
the cabinet	el gabinete
the oven	el horno
the pencil	el lápiz
the wood	la madera
the refrigerator	la nevera
the wall	la pared
the yard	el patio
the living room	la sala
the easy chair	el sillón
the entryway	el vestíbulo
the video	el video
ample	amplio
navy blue	azul marino
comfortable	cómodo
fine, delicate	fino
thick	grueso
clean	limpio
my (sing., pl.)	mi, mis
private	privado
simple	sencillo
all	todo
enough	bastante
still	todavía
How?	¿Cómo?
Where?	¿Dónde?
Who?	¿Quién? (sing.), ¿Quiénes? (pl.)
What?	¿Qué?
Which, which one? Which ones?	¿Cuál? (sing.), ¿Cuáles? (pl.)
Why?	¿Por qué?
How much?	¿Cuánto?
How many?	¿Cuántos?, ¿Cuántas?
When?	¿Cuándo?
the days of the week	los días de la semana
Monday, on Monday	el lunes
Tuesday, on Tuesday	el martes
Wednesday, on Wednesday	el miércoles
Thursday, on Thursday	el jueves
Friday, on Friday	el viernes
Saturday, on Saturday	el sábado
Sunday, on Sunday	el domingo
Mondays, on Mondays	los lunes
Tuesdays, on Tuesdays	los martes
Wednesdays, on Wednesdays	los miércoles
Thursdays, on Thursdays	los jueves
Fridays, on Fridays	los viernes
Saturdays, on Saturdays	los sábados
Sundays, on Sundays	los domingos
the months	los meses
January	enero
February	febrero
March	marzo
April	abril
May	mayo
June	junio
July	julio
August	agosto
September	septiembre
October	octubre
November	noviembre
December	diciembre
the seasons	las estaciones
the summer	el verano
the autumn, the fall	el otoño
the winter	el invierno
the spring(time)	la primavera
parts of the day	partes del día
the morning	la mañana
the afternoon	la tarde
the night, the evening	la noche
town	el pueblo
serious	serio
old, ancient	antiguo
an ancient people of Mexico who disappeared around 600 A.D.	los Olmecas
archeologist	la arqueóloga
politician	el político
relaxing	relajante
from Monday through Friday	de lunes a viernes
during	durante
the year	el año
the tree	el árbol
the elevator	el ascensor
the airplane	el avión
the bus	el bus
the countryside	el campo
the room	el cuarto
the birthday	el cumpleaños
the money	el dinero
the building	el edificio
the baggage	el equipaje
the home	el hogar
the garden	el jardín
the message	el mensaje
the month	el mes
the child	el niño
the country	el país
the paper	el papel
the park	el parque
the newspaper	el periódico
the floor	el piso
the price	el precio
the noise	el ruido
the classroom	el salón
the place	el sitio
the dream	el sueño
the theater	el teatro
the theme	el tema
the trip	el viaje
the avenue	la avenida
the library	la biblioteca
the street	la calle
the shirt	la camisa
the letter	la carta
the check, the bill	la cuenta
the shower	la ducha
the entrance	la entrada
the stairs	la escalera
the school	la escuela
the party	la fiesta
the sentence	la frase
the people	la gente
the war	la guerra
the leaf	la hoja
the bookstore	la librería
the key	la llave
the medicine	la medicina
the music	la música
the play	la obra
the page	la página
the word	la palabra
the beach	la playa
the question	la pregunta
the door	la puerta
the exit	la salida
the health	la salud
the week	la semana
the homework	la tarea
the postcard	la tarjeta
tall	alto
lax	flojo
kind	amable
amusing	gracioso
friendly	amistoso
wide	ancho
low, short (in height)	bajo
affectionate	cariñoso
blind	ciego
short (in length)	corto
sweet	dulce
hard	duro
elegant	elegante
exciting	emocionante
special	especial
narrow	estrecho
faithful	fiel
deep	hondo
long	largo
slow	lento
free	libre
new	nuevo
proud	orgulloso
dangerous	peligroso
heavy, dull	pesado
rapid, fast	rápido
strange	raro
deaf	sordo
soft	suave
tranquil	tranquilo
while	mientras
or	o
but	pero
because	porque
if	si
and	y
the movies (in general)	el cine
the film	la película
funny	cómico(a)
poverty	la pobreza
judge	el jurado
excited	emocionado
award, prize	el premio
0, 1, 2, 3	cero, uno, dos, tres
4, 5, 6	cuatro, cinco, seis
7, 8, 9	siete, ocho, nueve
10, 11, 12	diez, once, doce
13, 14, 15	trece, catorce, quince
16, 17, 18	dieciséis, diecisiete, dieciocho
19, 20, 21	diecinueve, veinte, veintiuno
22, 23, 24	veintidós, veintitrés, veinticuatro
25, 26, 27	veinticinco, veintiséis, veintisiete
28, 29, 30	veintiocho, veintinueve, treinta
31, 32, 33	treinta y uno, treinta y dos, treinta y tres
40, 50, 60	cuarenta, cincuenta, sesenta
70, 80, 90	setenta, ochenta, noventa
21 years	veintiún años
31 books	treinta y un libros
51 cats	cincuenta y un gatos
61 men	sesenta y un hombres
91 friends	noventa y un amigos
41 women	cuarenta y una mujeres
71 girls	setenta y una muchachas
81 friends	ochenta y una amigas
100	cien
101	ciento uno
150	ciento cincuenta
199	ciento noventa y nueve
200	doscientos
300	trescientos
400	cuatrocientos
500	quinientos
600	seiscientos
700	setecientos
800	ochocientos
900	novecientos
1.000	mil
1.000.000	un millón (de)
2.000.000	dos millones (de)
first	primero
second	segundo
third	tercero
fourth	cuarto
fifth	quinto
sixth	sexto
seventh	séptimo
eighth	octavo
ninth	noveno
tenth	décimo
What hour is it? What time is it?	¿Qué hora es?
It is one o’clock	Es la una
It is two o’clock	Son las dos
It is three o’clock	Son las tres
It is four o’clock	Son las cuatro
(of the) morning, A.M	de la mañana
(of the) afternoon, P.M	de la tarde
(of the) night, P.M	de la noche
It is two o’clock in the morning	Son las dos de la mañana
It is one o’clock in the afternoon	Es la una de la tarde
It is eight o’clock at night	Son las ocho de la noche
It’s exactly five o’clock	Son las cinco exactamente
It’s ten o’clock sharp	Son las diez en punto
It’s about one o’clock	Es a eso de la una
It’s one o’clock, more or less	Es la una, más o menos
It is 1:20 (It is one o’clock plus twenty minutes)	Es la una y veinte
It is 5:10 (It is five o’clock plus ten minutes)	Son las cinco y diez
It is 2:05 (It is two o’clock plus five minutes)	Son las dos y cinco
It is 3:15 (It is three o’clock plus fifteen minutes)	Son las tres y quince
It is 6:15 (It is six o’clock plus a quarter hour)	Son las seis y cuarto
